"","date","changepMTUM","changepQUAL","changepVLUE","changepSIZE","changepUSMV","changepSPY"
"1",2013-07-22,0.0013,0.0048,0.0027,0.0181,1e-04,0.002
"2",2013-07-29,-0.0015,0.0036,0.0024,-0.0046,-0.0015,-0.0031
"3",2013-08-05,-0.0029,2e-04,-0.0013,0.0108,-9e-04,-0.0015
"4",2013-08-09,-0.0025,-0.0022,0.004,-0.0055,-0.0021,-0.0029
"5",2013-08-15,-0.0173,-0.0143,-0.0166,-0.0225,-0.0134,-0.014
"6",2013-08-19,-0.0017,-0.0012,-0.0033,-0.0081,-0.0049,-0.0064
"7",2013-08-26,-0.0021,-0.0014,0.0123,0.0021,-0.0048,-0.0037
"8",2013-09-06,9e-04,0.005,0.0176,0.0049,0.0024,5e-04
"9",2013-09-10,0.0069,0.0058,0.0132,0.0064,0.0064,0.0074
"10",2013-09-19,-2e-04,0.0013,-0.0037,0.0173,-0.0023,-0.0017
"11",2013-09-30,-0.0061,-0.0063,-0.0041,-0.0054,-0.0044,-0.0053
"12",2013-10-02,6e-04,0.0015,-0.0055,0.0024,-0.0036,-9e-04
"13",2013-10-03,-0.0096,-0.0072,-0.0035,-0.0059,-0.0081,-0.0092
"14",2013-10-08,-0.013,-0.0154,-0.0118,-0.0047,-0.007,-0.0116
"15",2013-10-09,-0.0038,8e-04,-0.0039,-0.0082,6e-04,7e-04
"16",2013-10-11,0.0114,0.0087,0.007,0.0229,0.006,0.0064
"17",2013-10-16,0.0163,0.0131,0.0062,0.0108,0.0166,0.014
"18",2013-10-21,-0.0041,0.0019,0.0133,0.0069,-6e-04,1e-04
"19",2013-10-28,0.0034,0.0047,0.0023,0.0107,0.0026,0.0016
"20",2013-10-29,0.006,0.0064,0.0039,0.0032,0.006,0.0053
"21",2013-11-01,0.0026,8e-04,-0.0037,-0.0029,0.0029,0.0024
"22",2013-11-04,-0.0024,0.0044,0.0067,0.003,0.0026,0.0035
