"","date","closeMTUM","closeQUAL","closeVLUE","closeSIZE","closeUSMV","closeSPY"
"1",2013-07-22,54.419,50,54.78,54,33.935,169.5
"2",2013-07-29,54.6,50.05,54.63,53.75,33.83,168.59
"3",2013-08-05,55,50.73,55.31,54.48,33.98,170.7
"4",2013-08-09,54.522,50.378,54.85,54.18,33.83,169.31
"5",2013-08-15,53.038,49.46,54.01,52.96,33.12,166.38
"6",2013-08-19,52.7,49.26,53.58,52.53,32.76,164.77
"7",2013-08-26,53.05,49.89,54.11,53.12,32.97,166
"8",2013-09-06,52.99,50.02,53.9,52.82,32.78,166.04
"9",2013-09-10,53.74,50.59,54.61,53.38,33.25,168.87
"10",2013-09-19,55.41,52.07,55.83,54.94,34.2,172.76
"11",2013-09-30,53.88,50.78,54.15,53.49,33.232,168.01
"12",2013-10-02,54.37,51.108,54.23,53.62,33.34,169.18
"13",2013-10-03,53.85,50.74,54.04,53.306,33.07,167.62
"14",2013-10-08,53.19,49.8,53.61,53.37,32.78,165.48
"15",2013-10-09,52.99,49.84,53.4,52.93,32.8,165.6
"16",2013-10-11,54.585,51,54.82,54.14,33.57,170.26
"17",2013-10-16,55.4396,51.74,55.56,54.565,33.955,172.07
"18",2013-10-21,56.2,52.54,56.2979,55.33,34.37,174.4
"19",2013-10-28,57.04,53.21,56.7,55.92,34.89,176.23
"20",2013-10-29,57.383,53.55,56.92,56.1001,35.1,177.17
"21",2013-11-01,57.03,53.2937,56.5,55.94,34.9,176.21
"22",2013-11-04,56.8934,53.53,56.88,56.11,34.99,176.83
"23",2013-11-11,56.66,53.74,57.25,55.996,34.91,177.32
"24",2013-11-21,57.84,54.87,57.99,56.45,35.29,179.91
"25",2013-11-25,58.48,55,58.3399,56.649,35.39,180.63
"26",2013-12-03,58.09,55.05,57.87,56.18,35.04,179.75
"27",2013-12-06,58.47,55.27,58.35,56.57,35.23,180.94
"28",2013-12-09,58.57,55.44,58.639,56.81,35.19,181.4
"29",2013-12-12,57.78,54.536,57.65,55.7377,34.52,178.13
"30",2013-12-13,58.09,54.41,57.58,55.87,34.54,178.11
"31",2013-12-16,58.3,54.77,57.98,56.1407,34.65,179.216
"32",2013-12-18,59.11,55.3367,58.45,56,35.12,181.7
"33",2013-12-23,59.7399,55.92,58.89,56.92,35.1,182.53
"34",2013-12-26,60.1332,56.39,59.342,57.171,35.314,183.855
"35",2013-12-27,59.85,56.3,59.38,57.41,35.33,183.845
"36",2013-12-31,60.03,56.52,59.544,57.52,35.5,184.69
"37",2014-01-03,59.51,55.99,59.14,57.2099,35.14,182.885
"38",2014-01-07,59.87,56.22,59.46,57.22,35.26,183.48
"39",2014-01-09,60.42,56.1699,59.33,57.1,35.3,183.64
"40",2014-01-13,59.478,55.51,59.11,57.51,35.11,181.685
"41",2014-01-14,60.39,56.15,59.3,57.24,35.32,183.67
"42",2014-01-16,60.43,56.46,59.3899,57.47,35.41,184.42
"43",2014-01-17,60.11,56.31,59.26,57.41,35.3561,183.635
"44",2014-01-22,60.86,56.39,59.43,57.71,35.3675,184.3
"45",2014-01-24,58.6699,54.81,57.63,56.2899,34.56,178.89
"46",2014-01-27,58.0726,56.7,57.34,56.13,34.41,178.01
"47",2014-01-30,59.16,54.4,57.55,56.4,34.6,179.23
"48",2014-02-04,57.68,53.29,56.422,55.304,33.89,175.385
"49",2014-02-07,59.41,54.63,57.15,56.26,34.57,179.68
"50",2014-02-10,59.4923,54.75,57.622,56.543,34.66,180.01
"51",2014-02-13,60.95,55.82,58.716,57.6299,35.26,183.01
"52",2014-02-19,61.18,55.8499,59.02,58.33,35.42,183.02
"53",2014-02-21,61.65,56.15,59.092,58.4455,35.61,183.89
"54",2014-03-03,62.0445,56.2625,59.27,58.6476,35.68,184.98
"55",2014-03-04,63.3,57.21,60.17,59.37,36.17,187.58
"56",2014-03-05,63.4,57.0588,60.14,59.23,36.09,187.75
"57",2014-03-07,63.1,56.942,60.46,59.3,36.16,188.26
"58",2014-03-11,62.682,56.9,60,59.1099,36.09,187.23
"59",2014-03-18,62.73,57.08,60.36,59.3099,36.24,187.66
"60",2014-03-21,61.56,56.44,60.5,59.4636,35.93,186.2
"61",2014-03-24,60.73,56.33,60.1462,58.95,35.78,185.43
"62",2014-03-27,59.6546,55.66,59.72,58.26,35.62,184.58
"63",2014-03-28,59.74,55.8,60.12,58.83,35.71,185.49
"64",2014-03-31,60.34,56.3299,60.55,59.23,36.05,187.01
"65",2014-04-07,58.83,55.4586,59.9496,58.8199,35.63,184.34
"66",2014-04-09,60.27,56.26,60.532,58.76,36.04,187.09
"67",2014-04-10,58.422,55.2188,59.52,58.544,35.52,183.155
"68",2014-04-11,57.6614,54.54,58.9946,57.99,35.26,181.51
"69",2014-04-15,58.5,55.4156,59.74,57.9401,35.73,184.2
"70",2014-04-16,59.3299,56.058,60.25,58.8,36.08,186.125
"71",2014-04-17,59.57,56.17,60.54,59.12,36.1,186.39
"72",2014-04-21,60,56.29,60.61,59.14,36.21,187.04
"73",2014-04-22,60.49,56.602,60.95,59.4,36.29,187.89
"74",2014-04-25,58.95,55.96,60.44,59.144,36.09,186.29
"75",2014-04-28,58.79,56.37,60.6175,58.9568,36.29,186.875
"76",2014-04-30,59.74,56.75,61.0399,59.48,36.53,188.31
"77",2014-05-01,59.88,56.83,61,59.66,36.52,188.325
"78",2014-05-06,59.44,56.5,60.632,59.39,36.25,186.78
"79",2014-05-09,59.6767,56.72,60.6,59.53,36.5,187.96
"80",2014-05-12,60.67,57.3204,61.49,60.079,36.68,189.785
"81",2014-05-13,60.739,57.42,61.64,60.09,36.73,189.96
"82",2014-05-14,60.27,57.08,61.35,60.02,36.635,189.06
"83",2014-05-15,59.6,56.486,60.598,59.3,36.34,187.4
"84",2014-05-20,59.88,56.62,60.73,59.4,36.29,187.55
"85",2014-05-21,60.6,57.02,61.1,59.619,36.49,189.13
"86",2014-05-22,60.99,57.16,61.41,59.92,36.56,189.59
"87",2014-05-23,61.31,57.4479,61.5299,60.1,36.64,190.35
