"date","highMTUM","highQUAL","highVLUE","highSIZE","highUSMV","highSPY"
2013-07-22,55.05,50.48,54.99,55.95,33.9636,169.74
2013-07-29,54.71,50.2,54.66,53.7909,33.88,169.06
2013-08-05,55.09,51.18,55.319,54.48,34.0179,170.96
2013-08-09,54.85,50.446,54.85,54.18,33.91,170.1
2013-08-15,54.19,49.84,54.01,52.96,33.44,167.43
2013-08-19,60.102,49.5,53.58,52.54,32.962,166.21
2013-08-26,53.39,50.51,54.54,53.21,33.2092,167.3
2013-09-06,53.16,50.04,53.95,52.82,32.96,166.98
2013-09-10,54.15,51.05,54.61,53.38,33.25,168.9
2013-09-19,55.87,52.3,55.83,55.06,34.329,173.6
2013-09-30,54.07,51,54.15,53.62,33.2749,168.54
2013-10-02,54.37,51.15,54.23,53.62,33.368,169.3422
2013-10-03,54.18,51.54,54.04,53.306,33.3,168.94
2013-10-08,53.6199,50.46,54.04,53.37,33.0861,167.62
2013-10-09,53.12,50.41,53.47,52.93,32.9,166.2
2013-10-11,54.6,51.07,54.82,54.14,33.59,170.32
2013-10-16,55.4396,51.81,55.56,54.565,33.96,172.16
2013-10-21,56.4,52.78,56.38,55.33,34.4,174.75
2013-10-28,57.1197,53.5,56.77,55.92,34.95,176.47
2013-10-29,57.439,53.55,56.92,56.1101,35.1,177.24
2013-11-01,57.03,53.81,56.5,55.94,34.964,176.61
2013-11-04,57.28,53.92,56.88,56.11,34.99,176.9
2013-11-11,56.8,53.81,57.26,55.996,34.98,177.53
2013-11-21,57.86,54.93,58.04,56.45,35.31,180.05
2013-11-25,58.59,55.47,58.34,56.649,35.5,181.17
2013-12-03,58.26,55.15,58.08,56.32,35.0986,180.39
2013-12-06,58.49,55.38,58.46,56.57,35.23,181.11
2013-12-09,58.76,55.71,58.639,56.81,35.3,181.67
2013-12-12,58.04,54.72,57.65,55.7377,34.68,178.86
2013-12-13,58.16,54.54,57.62,55.87,34.65,178.66
2013-12-16,58.39,54.93,58.0144,56.1407,34.778,179.81
2013-12-18,59.11,55.382,58.45,56,35.12,181.73
2013-12-23,59.78,56.43,58.89,56.92,35.17,182.64
2013-12-26,60.1899,56.39,59.342,57.32,35.33,183.96
2013-12-27,63.79,56.59,59.38,57.4105,35.42,184.18
2013-12-31,60.03,56.65,59.57,57.6341,35.52,184.69
2014-01-03,59.77,56.57,59.29,57.75,35.2683,183.6
2014-01-07,59.95,56.26,59.46,57.5,35.33,183.79
2014-01-09,60.44,56.3899,59.475,57.34,35.34,184.13
2014-01-13,60.6,56.36,59.51,57.52,35.49,184.18
2014-01-14,60.39,56.1717,59.3,57.24,35.35,183.77
2014-01-16,60.5,56.47,59.3899,57.48,35.42,184.6618
2014-01-17,60.51,56.57,59.26,57.41,35.43,184.45
2014-01-22,60.88,56.44,59.44,57.71,35.4,184.57
2014-01-24,59.76,55.61,58.09,56.75,35,181.66
2014-01-27,58.55,57.22,57.606,56.13,34.62,179.52
2014-01-30,59.25,54.53,57.55,56.4,34.64,179.81
2014-02-04,57.81,53.36,56.422,55.72,33.92,175.84
2014-02-07,59.41,54.63,57.33,56.26,34.57,179.87
2014-02-10,59.62,54.79,57.75,56.543,34.67,180.07
2014-02-13,60.99,55.88,58.72,57.6299,35.27,183.2
2014-02-19,61.79,56.39,59.35,58.33,35.68,184.95
2014-02-21,61.973,56.48,59.2,58.4455,35.78,184.89
2014-03-03,62.26,56.71,59.42,58.65,35.7699,185.45
2014-03-04,63.34,57.26,60.21,59.38,36.22,187.98
2014-03-05,63.46,57.33,60.14,59.37,36.22,188.07
2014-03-07,63.62,57.44,60.46,59.3,36.2,188.96
2014-03-11,63.51,57.27,60.45,59.1099,36.25,188.71
2014-03-18,62.75,57.11,60.36,59.3099,36.3,187.91
2014-03-21,62.66,57.11,60.57,59.4636,36.26,189.0239
2014-03-24,61.4,56.71,60.74,58.95,36.099,187.07
2014-03-27,59.9,55.759,59.76,58.401,35.68,185.34
2014-03-28,60.3433,56.2,60.3,58.83,35.86,186.42
2014-03-31,60.447,56.44,60.59,59.23,36.05,187.3
2014-04-07,59.64,55.86,60.53,58.8199,35.9,186.26
2014-04-09,60.28,56.26,60.532,58.76,36.04,187.15
2014-04-10,60.19,56.41,60.465,58.56,36.12,187.17
2014-04-11,58.31,55.12,59.25,57.99,35.51,183.42
2014-04-15,58.6171,55.46,59.74,58.4,35.7399,184.33
2014-04-16,59.41,56.058,60.25,58.8,36.08,186.14
2014-04-17,59.7241,56.2599,60.55,59.12,36.13,186.91
2014-04-21,60,56.3,60.61,59.14,36.21,187.1
2014-04-22,60.69,56.7199,60.97,59.4222,36.3699,188.4
2014-04-25,59.2382,56.21,60.91,59.229,36.15,187.33
2014-04-28,59.33,56.4,60.7608,59.03,36.365,187.69
2014-04-30,59.74,56.82,61.04,59.5,36.53,188.5
2014-05-01,60.2999,57.03,61.0856,59.82,36.55,188.84
2014-05-06,60.2599,56.8796,60.65,59.5501,36.51,188.13
2014-05-09,59.73,56.72,61.03,59.57,36.5099,188.04
2014-05-12,60.67,57.3204,61.49,60.23,36.7,189.88
2014-05-13,60.98,57.54,61.65,60.229,36.7696,190.42
2014-05-14,60.66,57.42,61.43,60.02,36.76,189.88
2014-05-15,60.13,56.87,61.25,59.49,36.56,188.72
2014-05-20,60.32,56.891,61.02,59.6,36.53,188.67
2014-05-21,60.6,57.02,61.1,59.66,36.5,189.22
2014-05-22,61.0854,57.29,61.41,60,36.609,189.98
2014-05-23,61.31,57.45,61.53,60.12,36.65,190.48
2014-05-27,61.93,57.72,61.86,60.45,36.7995,191.58
2014-05-28,62,57.81,61.82,60.54,36.76,191.82
2014-05-29,62.23,57.8799,61.98,60.64,36.82,192.4
2014-06-02,62.35,58.24,62.322,61,37,192.99
2014-06-04,62.45,58.29,62.5,61.47,37.04,193.3
2014-06-06,62.89,58.712,63.21,61.68,37.3,195.43
2014-06-09,62.96,58.87,63.33,61.67,37.33,196.05
2014-06-10,62.85,58.78,63.3,61.506,37.22,195.64
2014-06-18,63.1392,58.33,63.5799,61.55,37.26,196.37
2014-06-20,63.57,58.61,63.81,62.21,37.51,196.1039
2014-06-25,63.33,58.25,63.25,61.69,37.21,195.781
2014-06-26,63.33,58.15,63.4,61.68,37.16,195.63
2014-06-27,63.34,58.36,63.21,61.84,37.2215,195.88
2014-07-01,64,58.86,63.75,62.2201,37.482,197.63
2014-07-03,64,59.19,64.119,62.27,37.49,198.29
2014-07-07,63.98,59.19,64.03,61.96,37.48,197.98
2014-07-08,63.25,58.81,63.58,61.6401,37.39,197.22
2014-07-09,63.32,58.9765,63.8195,61.9,37.5,197.295
2014-07-10,63.2999,58.765,63.435,61.699,37.44,196.86
2014-07-16,63.65,58.98,64.0227,62.03,37.63,198.26
2014-07-17,63.14,58.836,63.65,61.64,37.59,198.1
2014-07-21,63.48,58.71,63.85,61.78,37.49,197.5
2014-07-22,63.95,59.18,64.2328,62.04,37.6099,198.56
2014-07-24,64.55,59.2999,64.33,62.13,37.64,199.06
2014-07-28,64.34,59.2199,64.12,61.76,37.56,198.09
2014-07-29,64.35,59.21,64.02,62.04,37.636,198.45
2014-07-30,64.15,59.1,63.7228,62.07,37.4975,197.91
2014-07-31,63.4036,58.57,62.79,61.15,37.147,195.78
2014-08-05,63.0585,57.82,62.47,60.38,36.75,193.6
