"","date","lowMTUM","lowQUAL","lowVLUE","lowSIZE","lowUSMV","lowSPY"
"1",2013-07-22,54.34,49.95,54.78,52.89,33.83,169.01
"2",2013-07-29,54.413,50.05,54.51,53.75,33.77,168.11
"3",2013-08-05,54.98,50.7,55.31,54.48,33.9201,170.35
"4",2013-08-09,54.38,50.309,54.85,54.1699,33.74,168.72
"5",2013-08-15,52.95,49.42,54.01,52.96,33.0801,166.09
"6",2013-08-19,52.6,49.26,53.58,52.53,32.76,164.76
"7",2013-08-26,52.9683,49.89,54,53.07,32.969,165.89
"8",2013-09-06,52.99,49.56,53.9,52.82,32.58,164.48
"9",2013-09-10,53.4922,50.56,54.5801,53.2853,33.11,168.26
"10",2013-09-19,55.2847,52,55.83,54.94,34.164,172.585
"11",2013-09-30,53.86,50.33,54.15,53.49,33.07,167.15
"12",2013-10-02,53.96,50.89,54.23,53.62,33.13,167.83
"13",2013-10-03,53.69,50.45,54.04,53.1156,32.95,166.84
"14",2013-10-08,53.03,49.8,53.5,53.37,32.78,165.36
"15",2013-10-09,52.83,49.5,53.4,52.85,32.71,164.53
"16",2013-10-11,54.356,50.83,54.82,54.03,33.31,168.77
"17",2013-10-16,54.86,51.4,55.56,54.565,33.53,170.635
"18",2013-10-21,56.09,52.4,56.2979,55.33,34.24,174.01
"19",2013-10-28,57,53.069,56.7,55.92,34.81,175.7
"20",2013-10-29,57.24,53.24,56.92,56.06,34.94,176.38
"21",2013-11-01,56.81,53.02,56.5,55.94,34.749,175.22
"22",2013-11-04,56.8934,53.31,56.88,56.11,34.8417,175.9825
"23",2013-11-11,56.6356,53.61,57.25,55.996,34.9,176.91
"24",2013-11-21,57.62,54.5818,57.99,56.25,35.14,178.86
"25",2013-11-25,58.35,55,58.3399,56.649,35.33,180.37
"26",2013-12-03,57.83,54.87,57.87,56.18,34.919,179.17
"27",2013-12-06,58.15,55.05,58.1999,56.57,35.0349,180.15
"28",2013-12-09,58.55,55.35,58.639,56.7801,35.17,181.16
"29",2013-12-12,57.75,54.42,57.49,55.7377,34.5,177.76
"30",2013-12-13,57.88,54.2499,57.58,55.76,34.49,177.77
"31",2013-12-16,58.21,54.65,57.91,56.1407,34.5801,178.9
"32",2013-12-18,57.75,54.3,57.68,56,34.37,177.32
"33",2013-12-23,59.65,55.74,58.89,56.92,35.0201,182.065
"34",2013-12-26,59.8758,55.96,59.31,57.171,35.19,183.32
"35",2013-12-27,59.829,56.24,59.38,56.86,35.3,183.66
"36",2013-12-31,59.7516,56.33,59.51,57.52,35.39,183.93
"37",2014-01-03,59.5,55.9,59.139,57.2099,35.112,182.63
"38",2014-01-07,59.64,56.02,59.39,56.72,35.11,182.95
"39",2014-01-09,60.2194,55.92,59.29,56.8,35.18,182.795
"40",2014-01-13,59.391,55.4,59.11,57.51,35.05,181.34
"41",2014-01-14,59.6,55.67,59.03,57.13,35.11,181.95
"42",2014-01-16,60.31,56.2401,59.38,57.47,35.32,183.83
"43",2014-01-17,60.11,56.21,59.26,57.41,35.3,183.32
"44",2014-01-22,60.6,56.22,59.27,57.71,35.3106,183.91
"45",2014-01-24,58.6699,54.81,57.63,56.2899,34.5401,178.83
"46",2014-01-27,57.8301,56.57,57.34,56.13,34.33,177.12
"47",2014-01-30,58.72,54.1335,57.55,56.4,34.42,178.26
"48",2014-02-04,57.16,52.99,56.15,55.08,33.72,174.1055
"49",2014-02-07,58.6,53.963,57.13,56.26,34.2412,177.73
"50",2014-02-10,59.42,54.4826,57.57,56.543,34.48,179.21
"51",2014-02-13,59.96,55.22,58.3,57.3,34.81,180.83
"52",2014-02-19,61.13,55.8357,59.02,58.19,35.38,182.87
"53",2014-02-21,61.65,56.15,59.092,58.4455,35.5817,183.8
