"date","openMTUM","openQUAL","openVLUE","openSIZE","openUSMV","openSPY"
2013-07-22,55.05,50.48,54.99,52.89,33.94,169.41
2013-07-29,54.71,50.2,54.63,53.7909,33.83,168.68
2013-08-05,55.04,51.18,55.319,54.48,34,170.57
2013-08-09,54.85,50.446,54.85,54.1699,33.89,169.58
2013-08-15,54.19,49.84,54.01,52.96,33.44,167.41
2013-08-19,53.09,49.5,53.58,52.53,32.84,165.64
2013-08-26,53.24,50.51,54.54,53.07,33.16,166.79
2013-09-06,53.13,49.56,53.95,52.82,32.79,166.51
2013-09-10,54.15,51.05,54.5801,53.2853,33.22,168.64
2013-09-19,55.87,52.3,55.83,55.06,34.31,173.52
2013-09-30,53.92,51,54.15,53.62,33.13,167.48
2013-10-02,54.12,50.96,54.23,53.62,33.3,168.35
2013-10-03,54.15,51.54,54.04,53.1156,33.28,168.79
2013-10-08,53.6022,50.24,54.04,53.37,32.98,167.4
2013-10-09,52.83,50.41,53.45,52.85,32.8,165.8
2013-10-11,54.356,50.83,54.82,54.03,33.34,168.91
2013-10-16,55,51.81,55.56,54.565,33.53,170.72
2013-10-21,56.4,52.78,56.38,55.33,34.4,174.45
2013-10-28,57,53.5,56.77,55.92,34.81,175.89
2013-10-29,57.24,53.55,56.92,56.06,34.96,176.63
2013-11-01,56.96,53.81,56.5,55.94,34.81,176.02
2013-11-04,57.28,53.92,56.88,56.11,34.99,176.69
2013-11-11,56.79,53.81,57.26,55.996,34.96,177.12
2013-11-21,57.65,54.93,58.04,56.25,35.21,178.97
2013-11-25,58.59,55.47,58.34,56.649,35.49,181.13
2013-12-03,58.05,55.1,58.06,56.23,35.06,179.94
2013-12-06,58.47,55.16,58.2,56.57,35.07,180.67
2013-12-09,58.575,55.71,58.639,56.7801,35.24,181.47
2013-12-12,57.97,54.72,57.6,55.7377,34.65,178.64
2013-12-13,57.9,54.54,57.61,55.76,34.56,178.5
2013-12-16,58.39,54.85,57.91,56.1407,34.69,178.95
2013-12-18,58.2,54.75,57.68,56,34.56,178.92
2013-12-23,59.74,56.01,58.89,56.92,35.11,182.41
2013-12-26,59.9474,55.96,59.31,57.22,35.22,183.34
2013-12-27,60.84,56.59,59.38,56.86,35.37,184.1
2013-12-31,59.877,56.57,59.51,57.59,35.48,184.07
2014-01-03,59.71,56.57,59.29,57.75,35.13,183.21
2014-01-07,59.64,56.11,59.39,57.5,35.2,183.09
2014-01-09,60.36,56.37,59.475,56.8,35.29,184.1
2014-01-13,60.56,56.34,59.47,57.52,35.38,183.71
2014-01-14,59.6142,55.79,59.03,57.13,35.14,182.28
2014-01-16,60.31,56.47,59.38,57.48,35.38,184.28
2014-01-17,60.42,56.57,59.26,57.41,35.42,184.1
2014-01-22,60.73,56.44,59.37,57.71,35.36,184.49
2014-01-24,59.76,55.57,58.09,56.73,34.98,181.6
2014-01-27,58.52,56.91,57.52,56.13,34.55,179.06
2014-01-30,58.84,54.51,57.55,56.4,34.5,178.86
2014-02-04,57.41,52.99,56.32,55.72,33.85,174.95
2014-02-07,58.6,54.16,57.33,56.26,34.3,178.31
2014-02-10,59.62,54.79,57.75,56.543,34.59,179.7
2014-02-13,59.96,55.28,58.3,57.3,34.83,180.84
2014-02-19,61.32,56.22,59.05,58.19,35.5,183.76
2014-02-21,61.92,56.39,59.2,58.4455,35.69,184.49
2014-03-03,61.93,56.71,59.28,58.65,35.7,184.69
2014-03-04,62.962,57.08,59.9501,59.35,35.98,186.75
2014-03-05,63.41,57.33,60.14,59.37,36.15,187.72
2014-03-07,63.62,57.44,60.4599,59.1499,36.16,188.87
2014-03-11,63.31,57.25,60.44,59.1099,36.14,188.44
2014-03-18,62.38,56.84,60.09,59.3,36.18,186.71
2014-03-21,62.6,56.99,60.52,59.4636,36.25,187.72
2014-03-24,61.4,56.71,60.74,58.95,35.99,186.82
2014-03-27,59.9,55.67,59.76,58.4,35.65,184.77
2014-03-28,59.65,56.02,60.14,58.83,35.63,185.105
2014-03-31,60.2101,56.2,60.59,59.23,35.91,186.65
2014-04-07,59.25,55.62,60.53,58.8199,35.84,185.9
2014-04-09,59.46,55.81,60.12,58.76,35.88,185.6
2014-04-10,60.19,56.41,60.465,58.56,35.96,187.09
2014-04-11,57.99,54.74,59.12,57.99,35.36,182.17
2014-04-15,58.4,55.08,59.71,58.4,35.55,183.32
2014-04-16,58.964,55.76,59.98,58.8,35.86,185.47
2014-04-17,59.37,56.05,60.171,59.019,36.06,185.88
2014-04-21,59.57,55.98,60.61,59.14,36.16,186.44
2014-04-22,60.42,56.51,60.76,59.4222,36.25,187.23
2014-04-25,59.17,56.18,60.91,59.1701,36.11,187.21
2014-04-28,59.04,56.03,60.7608,58.81,36.22,187.05
2014-04-30,59.472,56.37,60.82,59.439,36.42,187.44
2014-05-01,59.8899,56.94,61.0856,59.54,36.55,188.22
2014-05-06,60.05,56.68,60.65,59.5501,36.51,188
2014-05-09,59.33,56.6,61.03,59.57,36.47,187.69
2014-05-12,60.08,57.012,61.34,60.23,36.64,188.76
2014-05-13,60.8,57.48,61.56,60.229,36.76,190.03
2014-05-14,60.62,57.42,61.43,60.02,36.76,189.79
2014-05-15,60.12,56.87,61.25,59.48,36.54,188.67
2014-05-20,60.1499,56.82,61.01,59.54,36.53,188.645
2014-05-21,60.28,56.79,61.09,59.66,36.39,188.1
2014-05-22,60.82,57.15,61.3599,59.8,36.56,189.18
2014-05-23,61.0099,57.3,61.49,59.96,36.62,189.75
2014-05-27,61.69,57.56,61.86,60.4,36.78,191.05
2014-05-28,61.86,57.78,61.82,60.5,36.76,191.52
2014-05-29,61.95,57.7301,61.9571,60.48,36.74,191.82
2014-06-02,62.214,58.24,62.322,60.83,37,192.95
2014-06-04,62.19,57.75,62.27,61.47,36.89,192.47
2014-06-06,62.78,58.62,63.15,61.6799,37.24,194.87
2014-06-09,62.86,58.84,63.33,61.67,37.29,195.35
2014-06-10,62.82,58.78,63.28,61.506,37.22,195.33
2014-06-18,62.65,58.06,63.08,61.55,37,194.83
2014-06-20,63.37,58.59,63.78,62.194,37.51,196.03
2014-06-25,62.77,57.98,63.0301,61.589,37.07,194.25
2014-06-26,63.03,57.95,63.4,61.52,37.15,195.61
2014-06-27,63.25,58.09,62.97,61.84,37.13,194.98
2014-07-01,63.53,58.4,63.33,62.2201,37.3,196.19
2014-07-03,63.95,59,64.04,62.27,37.44,197.79
2014-07-07,63.98,59.17,64.03,61.96,37.4,197.82
2014-07-08,63.25,58.81,63.58,61.6401,37.32,197.15
2014-07-09,63.1,58.71,63.64,61.9,37.4,196.73
2014-07-10,62.68,58.4,63.251,61.699,37.2,195.22
2014-07-16,63.65,58.98,63.97,62.03,37.63,198.11
2014-07-17,63.13,58.7,63.65,61.63,37.31,197.349
2014-07-21,63.25,58.71,63.81,61.78,37.48,197.09
2014-07-22,63.72,59.04,64.2328,61.988,37.48,198.01
2014-07-24,64.4194,59.2,64.28,62.04,37.61,198.83
2014-07-28,64.34,59.05,64.12,61.76,37.47,197.76
2014-07-29,64.31,59.21,64.02,62.04,37.61,198.17
2014-07-30,64.15,58.89,63.567,62.07,37.47,197.65
2014-07-31,63.4,58.57,62.79,60.97,37.11,195.61
2014-08-05,62.76,57.64,62.47,60.38,36.7,193.1
2014-08-06,61.95,57.29,61.65,60.05,36.41,191.11
2014-08-07,62.0799,57.72,61.927,60.29,36.7,192.935
2014-08-08,61.78,57.29,62.28,59.99,36.46,191.46
2014-08-11,62.82,58.16,62.53,61.03,37.03,193.965
2014-08-12,62.69,57.9606,62.4599,60.83,37.01,193.61
2014-08-13,62.86,58.1145,62.7501,60.87,37.07,194.29
2014-08-14,63.4,58.5,62.79,61.33,37.2,195.16
2014-08-15,63.84,58.871,63.105,61.61,37.54,196.47
2014-08-18,63.94,59.03,63.385,61.75,37.6,196.8
2014-08-19,64.26,59.49,63.79,62.17,37.76,197.84
2014-08-20,64.38,59.68,63.68,61.82,37.82,198.12
2014-08-21,64.12,60.05,64.12,62.5148,37.97,199.09
2014-08-22,64.84,60.02,64.26,62.44,38.05,199.34
2014-08-25,65.24,60.3018,64.55,62.83,38.04,200.14
2014-08-26,65.27,60.26,64.7,62.6599,38.08,200.33
2014-08-29,65.34,60.31,64.609,62.65,38.08,200.45
2014-09-02,65.52,60.41,64.99,62.97,38.2,200.97
2014-09-04,65.73,60.24,64.59,62.99,38.2,200.84
2014-09-05,65.68,59.99,64.45,63.62,38.17,200.17
2014-09-09,65.8,60.16,64.46,62.82,38.25,200.41
2014-09-12,65.47,60,64.445,62.42,38.03,200.1
2014-09-15,65.14,59.72,63.92,62.205,37.82,199.16
2014-09-16,65.089,59.52,64.1,62.14,37.82,198.61
2014-09-18,65.9305,60.3425,64.86,62.73,38.19,201.36
2014-09-22,65.96,60.35,64.82,62.26,38.22,200.35
2014-09-23,65,59.89,64.14,62.11,37.98,198.43
2014-09-24,65.04,59.62,64.091,61.49,37.73,198.04
2014-09-25,65.47,59.83,63.5,61.9,37.93,199.04
2014-09-30,64.94,59.65,63.39,61.39,37.78,197.69
2014-10-01,64.7,59.53,63,60.99,37.62,196.7
2014-10-02,63.84,58.64,62.45,60.82,37.36,194.18
2014-10-03,64.26,59.01,62.95,61.299,37.64,195.68
2014-10-06,65.15,59.64,63.2799,61.38,38,197.34
2014-10-07,64.32,58.99,62.59,61.16,37.74,195.28
2014-10-08,63.66,58.3,62.3,61.3,37.44,193.37
2014-10-09,64.65,59.32,62.88,61.4,37.96,196.33
2014-10-10,63.17,58.45,61.88,60.64,37.42,192.69
2014-10-14,61.074,56.91,60.56,59.57,37.04,188.42
2014-10-15,59.99,55.9,59.58,58.75,36.67,185.16
2014-10-16,59.24,55.14,59.258,58.41,36.93,183.06
2014-10-20,61.53,56.73,60.69,59.942,36.98,188.18
