"date","changepMTUM","changepMTUM & changepQUAL","changepMTUM & changepVLUE","changepMTUM & changepSIZE","changepMTUM & changepUSMV","changepMTUM & changepSPY","changepQUAL","changepQUAL & changepVLUE","changepQUAL & changepSIZE","changepQUAL & changepUSMV","changepQUAL & changepSPY","changepVLUE","changepVLUE & changepSIZE","changepVLUE & changepUSMV","changepVLUE & changepSPY","changepSIZE","changepSIZE & changepUSMV","changepSIZE & changepSPY","changepUSMV","changepUSMV & changepSPY","changepSPY"
2013-11-01,5.71153333333333e-05,4.88576666666667e-05,3.79963333333333e-05,5.66211666666667e-05,4.42448333333333e-05,4.64718333333333e-05,4.74964761904762e-05,4.02054523809524e-05,5.20414047619048e-05,3.8264880952381e-05,4.15472380952381e-05,7.21219047619048e-05,4.77333095238095e-05,3.09687619047619e-05,3.38289761904762e-05,0.000115205619047619,4.09905238095238e-05,4.65459523809524e-05,3.95859047619048e-05,3.94181904761905e-05,4.1796619047619e-05
2013-11-04,5.70149047619048e-05,4.80928571428571e-05,3.7441e-05,5.4827e-05,4.39519285714286e-05,4.58147380952381e-05,4.73322857142857e-05,4.09605e-05,4.87705e-05,3.87426428571429e-05,4.17818571428571e-05,7.344e-05,4.69635e-05,3.1734e-05,3.48085e-05,0.000102234,4.07305e-05,4.44255e-05,4.00275714285714e-05,4.00084285714286e-05,4.23459047619048e-05
2013-11-11,5.7338619047619e-05,4.85811904761905e-05,3.81382619047619e-05,5.60628571428571e-05,4.3776119047619e-05,4.58689523809524e-05,4.72719047619048e-05,4.1580119047619e-05,5.14200714285714e-05,3.87686904761905e-05,4.22865238095238e-05,7.47074761904762e-05,5.00512857142857e-05,3.15132619047619e-05,3.51545952380952e-05,0.000106178571428571,3.97723571428571e-05,4.42158571428571e-05,4.00166190476191e-05,3.98244523809524e-05,4.2130619047619e-05
2013-11-21,5.95274761904762e-05,5.1309380952381e-05,3.82230714285714e-05,5.65543095238095e-05,4.49817619047619e-05,4.87681904761905e-05,5.03999047619048e-05,4.20173571428571e-05,5.10295476190476e-05,4.01993095238095e-05,4.56659523809524e-05,7.43072857142857e-05,5.12910714285714e-05,3.16477142857143e-05,3.55519285714286e-05,0.000102595476190476,3.97775952380952e-05,4.40045238095238e-05,4.0661619047619e-05,4.13594047619048e-05,4.57694761904762e-05
2013-11-25,5.9312619047619e-05,5.08640714285714e-05,3.84289285714286e-05,5.57439761904762e-05,4.47290476190476e-05,4.84270714285714e-05,5.01191428571429e-05,4.24363571428571e-05,4.97062857142857e-05,3.99499285714286e-05,4.53281428571429e-05,7.41101428571429e-05,5.20632142857143e-05,3.18865714285714e-05,3.58743571428571e-05,9.97369047619048e-05,3.89766904761905e-05,4.29227857142857e-05,4.0481619047619e-05,4.11159285714286e-05,4.54401428571429e-05
2013-12-03,4.48419047619048e-05,3.80319523809524e-05,2.50628571428571e-05,3.58966666666667e-05,3.34218333333333e-05,3.70119047619048e-05,3.87404761904762e-05,3.06289285714286e-05,3.21308333333333e-05,2.99216666666667e-05,3.52109523809524e-05,6.68072857142857e-05,3.6462e-05,2.12835e-05,2.59313571428571e-05,7.39943333333333e-05,2.33821666666667e-05,2.75916666666667e-05,3.16513333333333e-05,3.21773333333333e-05,3.65069047619048e-05
2013-12-06,5.01442857142857e-05,4.07408571428571e-05,2.79264285714286e-05,3.62967857142857e-05,3.89285e-05,4.16810714285714e-05,3.99999047619048e-05,3.17677857142857e-05,3.14661904761905e-05,3.24933333333333e-05,3.72202142857143e-05,6.75101428571429e-05,3.44159285714286e-05,2.36285e-05,2.74738571428571e-05,6.7958619047619e-05,2.21113333333333e-05,2.53185714285714e-05,3.69013333333333e-05,3.62965e-05,3.94821428571429e-05
2013-12-09,4.96104761904762e-05,4.0203119047619e-05,2.9627119047619e-05,3.60199047619048e-05,3.78507142857143e-05,4.0889119047619e-05,3.94749047619048e-05,3.36004047619048e-05,3.11904761904762e-05,3.13089285714286e-05,3.64364047619048e-05,6.29459047619048e-05,3.53209761904762e-05,2.63564285714286e-05,3.00969047619048e-05,6.7815619047619e-05,2.15333571428571e-05,2.49104761904762e-05,3.53085714285714e-05,3.46149285714286e-05,3.83189047619048e-05
2013-12-12,4.9607e-05,4.0327e-05,3.00145e-05,3.6382e-05,3.79785e-05,4.09415e-05,3.99129047619048e-05,3.22069523809524e-05,3.56691904761905e-05,3.26308095238095e-05,3.75480714285714e-05,5.15214761904762e-05,3.94285952380952e-05,2.71444047619048e-05,3.18772857142857e-05,9.2363619047619e-05,2.9269880952381e-05,3.01228571428571e-05,3.7725619047619e-05,3.62956428571429e-05,3.93575714285714e-05
2013-12-13,4.88741428571428e-05,3.83357857142857e-05,2.61139285714286e-05,3.52737857142857e-05,3.63677142857143e-05,3.89154285714286e-05,3.97779047619048e-05,3.00195238095238e-05,3.49280714285714e-05,3.15352619047619e-05,3.64383571428571e-05,4.4170619047619e-05,3.71493571428571e-05,2.38023095238095e-05,2.81012857142857e-05,9.16645714285714e-05,2.82459285714286e-05,2.89503571428571e-05,3.62259047619048e-05,3.45761428571429e-05,3.74182857142857e-05
