"","date","tradevalMTUM","tradevalQUAL","tradevalVLUE","tradevalSIZE","tradevalUSMV","tradevalSPY"
"1",2013-07-22,89882.25,175874.68,76037.95,84899.25,179879213.19,13435386172.47
"2",2013-07-29,245790.39,59473.36,49110,10754.09,14427969.93,13439438928
"3",2013-08-05,413851,38205.76,22071.38,5448,7589596.7,9196361319.9
"4",2013-08-09,395569.37,4870486.52,5485,27088.96,9804548.34,15557187411.78
"5",2013-08-15,334415.7,1201538.51,10802,10592,17510430.84,25461041255.01
"6",2013-08-19,334473.23,273415.2,85352.94,1068333.35,49926789.41,15946592115.61
"7",2013-08-26,411399.79,877139.57,26518.52,25238,7616356.3,14909528311.43
"8",2013-09-06,330042.86,2050597.9,53925,105640,26494539.51,26508510358.06
"9",2013-09-10,692347.55,209520.04,50619.67,155961.01,23912670.04,17753689487.72
"10",2013-09-19,943124,312801.51,33498,93494,5714162.05,25351639980.31
"11",2013-09-30,722969.62,365117.43,27075,32513.93,6844839.47,24192678822.99
"12",2013-10-02,711603.63,89302.78,16269,10724,12261795.12,19225128334.61
"13",2013-10-03,190195.18,2131161.45,6592.88,11974.81,12853343.45,29715178771.5
"14",2013-10-08,161000.66,1296389.14,166281.68,16011,12522660.71,29711506566.15
"15",2013-10-09,244334.9,428976.12,164901.25,64009.05,12659161.68,27856314836.87
"16",2013-10-11,76126.35,1315418.06,27410,21623,5414080.87,17825648232.49
"17",2013-10-16,646899.23,2341288.53,42670.08,6820.62,6972172.75,27984466725.61
"18",2013-10-21,391719.4,2439008.76,23999.33,11066,6732995.67,18602320674.29
"19",2013-10-28,109793.88,2942052.23,36013.95,33552,12209783.54,15070360896.61
"20",2013-10-29,121351.49,1943814.37,53390.96,19912.17,9245843.26,15441556137.14
"21",2013-11-01,371312.75,782481.29,21470,11188,11413828.77,25328751145.24
"22",2013-11-04,65643.76,2416563.48,11376,28055,10843167.75,15395347573.81
"23",2013-11-11,199895.13,2333967.52,25422,5599.6,4527430.73,11753223624.35
"24",2013-11-21,105530.96,2621150.94,23209,28390.8,6266495.55,16937804486.65
"25",2013-11-25,1164869.09,1767789.85,11667.99,6004.79,17653100.83,14746392614.52
"26",2013-12-03,689122.19,1808105.88,243781,272871.5,14852816.14,21161090327.94
"27",2013-12-06,349811.32,1697382.62,48411.97,12954.53,11258084.47,23267176642.7
"28",2013-12-09,679489.81,1456462.96,8791.85,20050.69,9112599.43,12807823364.11
"29",2013-12-12,631141.37,1034113.79,329039.11,6131.15,11065776.63,20617427909.06
"30",2013-12-13,582275.9,582235.11,88815.06,28195.62,7395177.68,19330267137.8
"31",2013-12-16,455061.53,6907908.78,58611.72,6175.48,22974808.01,17244996800.81
"32",2013-12-18,545993.11,16550284.74,55157.28,12880,22605992.96,42217768560.5
"33",2013-12-23,336491.43,5931103.77,17724.88,8880.78,11223938.01,15652840386.44
"34",2013-12-26,635087.87,12250535.98,21055.83,366176.54,6233230.79,11634923951.56
"35",2013-12-27,516560.24,4250311.05,7304.23,47521.76,9196376.22,11458788248.4
"36",2013-12-31,516167.6,3118318.51,98359.27,78465.02,7647097.58,16118228027.06
"37",2014-01-03,881169.92,4268210.09,49037.73,15759.4,10116553.36,14901707004.32
"38",2014-01-07,341930.4,4839555.24,77736.98,50802.18,16863593.27,16155829697.77
"39",2014-01-09,4521002.34,4071637.12,329524.01,40068.81,29410850.2,16905069527.7
"40",2014-01-13,561819.33,2263195.88,71763.45,29444.6,7581754.5,27487184489.79
"41",2014-01-14,474627.37,1105227.77,75402.57,31520.31,6078958.01,19893475787.14
"42",2014-01-16,390646.94,979870.21,32663.22,40514.94,14307873.56,13414073972.62
"43",2014-01-17,517881.64,1445307.97,18621.93,12857.88,10178015.46,20394733019.92
"44",2014-01-22,648672.7,1452203.88,88354.11,7730.5,6919472.57,11383578245.81
"45",2014-01-24,3053182.99,19664120.93,1154330.51,39694.03,18388847.32,38223672142.58
"46",2014-01-27,507902.21,4094636.07,128491.75,11226,24774539.2,32289066437.53
"47",2014-01-30,620262.97,1312906.71,100770.23,8787.36,58319336.69,21319866509.71
"48",2014-02-04,952486.12,19516919.5,115235.35,103297.44,22223349.02,28994605170.54
"49",2014-02-07,249845.79,1125877.93,185257.41,5626,5671170.23,30576343736.33
"50",2014-02-10,575148.28,1973792.51,220379.1,6895.16,9772409.31,16731084464.07
"51",2014-02-13,327845.43,1273518.72,183727.34,51971.58,5526255.53,18375011153.65
"52",2014-02-19,1340821.88,3038628.02,78499.88,27431.43,12466250.69,23336402297.65
"53",2014-02-21,636017.77,1189769.76,84690.37,9935.74,14114960.27,21834708062.87
"54",2014-03-03,2010412.7,4658424.47,181112.98,80407.76,15439229.27,31175760456.91
"55",2014-03-04,1248802.94,1614277.1,51384.39,33755.86,7037072.68,31890841832.16
"56",2014-03-05,974641.63,1550035.37,17441.4,30953.06,12560956.25,16591453928
"57",2014-03-07,2143141.95,702560.87,67877.79,38791.97,7517837.54,22111062144.42
"58",2014-03-11,2841412.75,301411.57,133289.87,7448.37,5476375.27,18766580597.55
"59",2014-03-18,1466839.21,713657.84,116452.86,19503.61,17043948.16,19134899566.71
"60",2014-03-21,1154397.29,12060044.31,310124,6540.26,9052890.53,30494732528.61
"61",2014-03-24,2733123.07,1405155.17,75730.83,7248.87,7473909.38,22522330866.62
"62",2014-03-27,1280776.07,834386.01,445504.49,137200.47,5713904.6,26334175578.05
"63",2014-03-28,794068.99,1029845.39,125229.66,205135.61,10805537.99,18867754216.25
"64",2014-03-31,646306.09,522561.8,82055.47,22021.12,7805134.42,18643073448.91
"65",2014-04-07,1840434.58,10865020.61,98749.57,11763.98,10563023.83,26045790552.68
"66",2014-04-09,7371782.32,603216.2,61645.08,20403.89,5991073.06,18885319475.13
"67",2014-04-10,3746151.85,732582.62,61741.38,52700.7,8844064.59,32050571809.31
"68",2014-04-11,4206621.77,1627609.97,48423.46,16637.42,5820051.85,30517580002.56
"69",2014-04-15,1683436.49,1581742.12,135874,44040.58,8234342.2,28805187483.58
"70",2014-04-16,974973.02,1419688.57,49804.32,31103.02,6713638.98,19504109555.27
"71",2014-04-17,443430.75,2473000.74,46440.47,54600.6,5374497.08,19731398893.3
"72",2014-04-21,469747.17,2411584.75,12544.33,41753.61,8355532.01,12765563363.17
"73",2014-04-22,7080652.69,1410179.62,41449.87,24190.83,12039366.2,16119747405.49
"74",2014-04-25,986785.35,944931.87,84351.34,63288.04,11574338.01,18774690641.4
"75",2014-04-28,750585.28,1689142.1,50336.41,72437.64,5688388.85,25214311471.47
"76",2014-04-30,453209.01,5166499.72,54630.54,34785.08,15712041.79,19077841073.53
"77",2014-05-01,342088.52,2253891.79,40941.27,343291.59,15850646.1,17515506843.81
"78",2014-05-06,1835385.73,374820.09,58516.75,42139.49,10097236.83,16275488915.33
"79",2014-05-09,544731.96,580223.97,288465.74,331246.46,6172620.73,15713675285.45
"80",2014-05-12,734453.66,527194.54,198235.86,61743.41,14003980.47,16641985950.32
"81",2014-05-13,1124476.74,613143.51,329547.59,119799.39,7363190.49,12627490855.74
"82",2014-05-14,2877570.81,2259521.95,95205.21,40334.55,5756039.99,13709181474.47
"83",2014-05-15,908231.52,1383301.14,25741.97,161690.15,7076948.39,29073796943.51
"84",2014-05-20,1792455.95,3049519.52,2325257.52,968773.17,5939026.09,20981421440.7
"85",2014-05-21,667717.19,693339.53,258574.03,280037.36,5296679.84,16960902578.43
"86",2014-05-22,626988.23,2416128.32,40874.58,366867.54,19107373.68,11668228957.4
"87",2014-05-23,1398371.03,541965.55,79516.93,182381.09,9782363.57,11655248907.79
"88",2014-05-27,1614819.92,1128077.47,182876.05,967909.4,10378677.83,13777927512.94
"89",2014-05-28,688095.53,963420.02,28932.73,393663.53,13307021.07,13018469200.85
"90",2014-05-29,4690708.31,829277.88,214596.3,1015652.16,10381113.82,12354444649.13
"91",2014-06-02,15188348.38,15504185.73,103900.83,1171529.12,7658182.44,12486684089.42
"92",2014-06-04,673382.72,645105.62,302708.55,141011.18,11486245.33,10714604727.25
"93",2014-06-06,449362.76,839100.88,130212.09,24671.99,11701889.02,15760480132.09
"94",2014-06-09,2203394.4,822538.89,33632.92,16653.25,4704249.11,12735288215.18
"95",2014-06-10,427202.09,1092222.82,125604.29,12424.42,7993019.14,11553454726.01
"96",2014-06-18,1031518.05,650300.61,719392,12739.8,19110340.33,20554775463.99
"97",2014-06-20,469302.01,1498486.26,546879.18,430321.96,40960501.3,19717274416.27
"98",2014-06-25,3864733.26,771284.71,3556193.29,97625.26,16176142.89,16153230763.37
"99",2014-06-26,985035.81,574820.54,245169.9,67192.16,12262374.47,16443248225.04
"100",2014-06-27,5689429.8,3151611.14,5420932.42,16441.22,3633162.57,13965909781.11
"101",2014-07-01,1552987.04,1978439.21,42489.83,14126.4,24468398.96,17826616506.56
"102",2014-07-03,641905.62,223812.24,855682.47,48196.98,2899239.46,10573302611.14
"103",2014-07-07,1546908.8,538249.7,356286.45,22905.78,12067357.18,12209025989.66
"104",2014-07-08,1446613.42,1614206.96,455647.44,40871.74,6468137.91,21322831310.1
"105",2014-07-09,389932.8,2004617.14,854153.23,26620.6,17663466.99,14366328597.17
"106",2014-07-10,517609.64,731078.15,44276.5,202918.4,25640398.96,19418524281.54
"107",2014-07-16,1215384.79,720127.22,1430315.94,32069.51,9040650.56,15846838666.52
"108",2014-07-17,182023.26,807057.49,65559.5,97431.18,10256236.09,28608513989.96
"109",2014-07-21,5464384.73,279191.02,61710.75,58691,46168228.98,13317651386.05
"110",2014-07-22,4530374.29,1162096.17,925905.64,2330458.16,10327895.79,13418509548.41
"111",2014-07-24,396762.58,969778.38,139057.2,49251.66,5472002.84,11306867959.61
"112",2014-07-28,1212079.04,1700724.95,108505.11,136272.72,13032549.97,13673596186.28
"113",2014-07-29,1227731.73,607414.52,330599.28,74929.29,8706210.36,15905834939.7
"114",2014-07-30,5069462.08,1122783.77,40318.23,655257.49,10567732.71,20527103955.6
"115",2014-07-31,9317629.42,1780570.94,25806.69,437723.44,12212392.06,35625339054.28
"116",2014-08-05,1177973.84,649969.47,38097.85,550984.4,9384769.06,29378316484.38
"117",2014-08-06,594927.94,754104.02,74987.58,1209363.48,16512245.84,18221413003.69
"118",2014-08-07,335270.11,1171865.97,43748.97,1060597.12,7227685.99,26015022411.76
"119",2014-08-08,11229372.89,11529087.13,10049130.16,10079612.12,8065867.23,22492040345.38
"120",2014-08-11,558077.07,935678.61,24086.3,739877.05,12127068.32,14470787828.25
"121",2014-08-12,327265.11,601773.02,307338.63,649632.73,11940763.04,14248676385.16
"122",2014-08-13,2303629.43,2565311.84,77477.73,48148.17,5565717.58,13415341069.72
"123",2014-08-14,288362.4,508983.15,242066.39,49566.17,7024205.81,11211899838.18
"124",2014-08-15,693722.52,1630055.63,478090.51,12506.83,10280696.65,27356602312.56
"125",2014-08-18,1341435.57,2953461.71,672644.02,563581.43,12090052.02,14874421593.09
"126",2014-08-19,1108831.8,1532224.83,594836.03,83074.71,16478773.9,11719958359.48
"127",2014-08-20,527100.9,1397963.82,42308.34,126781.96,16555132.93,14454237222.24
"128",2014-08-21,617864.69,1059149.31,32558.47,24068.2,20102184.88,13518777030.62
"129",2014-08-22,488387.99,817383.12,104083.3,700248.47,5572570.26,15165550015.29
"130",2014-08-25,1189508.68,547057.32,901461.71,252668.49,6166294.25,12781876483.76
"131",2014-08-26,1433435.64,762904.49,59510.54,30766.01,7138582.99,9483689179.6
"132",2014-08-29,1014575.03,424462.75,25908.21,291228.14,13762362.71,13210867768.71
"133",2014-09-02,1620857.45,3683209.9,123021.54,4637741.22,24375208.39,14519395286.31
"134",2014-09-04,453737.34,1281419,131048.11,243641.16,9009524.91,17107022013.32
"135",2014-09-05,415644.34,639615.73,212442.18,248789.82,6721987,20478429525.47
"136",2014-09-09,1060705.99,403220.81,42111.4,909326.83,7370173.86,17695675952.4
"137",2014-09-12,1550512.83,31271644.9,72771067.82,166251.68,61999438.4,23408481863.19
"138",2014-09-15,9359724.41,4885725.21,216767.91,238304.51,39176278.01,15192223616.55
"139",2014-09-16,5053651.31,1262759.82,24486.2,330774.42,9855172.15,23240307545.81
"140",2014-09-18,3731804.47,32874385.74,75935551.55,207674.45,6019418.89,19149917572.96
"141",2014-09-22,6176598.93,563716.2,52858.82,64310.48,13587435.33,25022895560.92
"142",2014-09-23,2786074.92,1106458.48,71651.89,125502.1,10842059.18,22121077565.3
"143",2014-09-24,2690949.42,967791.44,26933.52,90787.6,7534688.44,21320581469.48
"144",2014-09-25,4919505.79,3358744.9,1120403.28,98062.7,11890777.48,29627382149.7
"145",2014-09-30,1714933.58,687938.74,66912.32,6814.29,23322600.88,25913065670.61
"146",2014-10-01,9179780.25,13808383.75,11425465.85,109766.87,35081710.75,34688148274.18
"147",2014-10-02,2970307.45,4742269.06,63205.44,13988.6,36331479.67,30503768031.2
"148",2014-10-03,2036638.41,1243849.08,34524.97,190631.61,18122493.33,23862653917.9
