"date","tradevolMTUM","tradevolQUAL","tradevolVLUE","tradevolSIZE","tradevolUSMV","tradevolSPY"
2013-07-22,8,13,8,5,2112,190831
2013-07-29,20,7,6,2,766,214042
2013-08-05,35,4,2,1,458,141230
2013-08-09,41,21,1,5,631,230527
2013-08-15,42,73,1,2,854,348152
2013-08-19,29,31,7,4,536,241769
2013-08-26,29,67,4,4,383,207598
2013-09-06,13,23,3,2,544,390618
2013-09-10,51,11,3,6,602,254052
2013-09-19,42,23,2,2,394,286024
2013-09-30,15,20,1,3,730,360240
2013-10-02,53,11,3,1,807,260441
2013-10-03,26,21,1,2,701,425679
2013-10-08,14,49,24,1,1225,453474
2013-10-09,14,36,12,4,439,449324
2013-10-11,10,28,1,2,367,285794
2013-10-16,44,92,1,1,402,379545
2013-10-21,33,131,3,1,433,197900
2013-10-28,7,97,4,1,430,207825
2013-10-29,8,66,2,3,414,213402
2013-11-01,29,45,2,2,431,348576
2013-11-04,9,99,1,2,485,172618
2013-11-11,14,59,2,1,289,168424
2013-11-21,10,69,3,3,349,207554
2013-11-25,39,59,2,1,581,179505
2013-12-03,37,29,9,12,545,258181
2013-12-06,31,128,5,1,462,277022
2013-12-09,75,119,2,3,706,210826
2013-12-12,66,63,19,1,1178,329235
2013-12-13,67,50,15,4,500,262778
2013-12-16,58,309,10,1,812,241713
2013-12-18,63,224,4,1,1243,584327
2013-12-23,31,271,7,3,606,237907
2013-12-26,46,107,4,17,529,176490
2013-12-27,51,114,2,8,531,165688
2013-12-31,46,174,14,8,750,211839
2014-01-03,61,239,8,4,551,224668
2014-01-07,42,263,10,7,1056,243474
2014-01-09,73,115,24,8,1272,262789
2014-01-13,64,145,11,3,716,366254
2014-01-14,39,87,9,5,695,277209
2014-01-16,62,62,11,4,1628,198956
2014-01-17,53,121,4,2,624,243717
2014-01-22,51,112,18,4,484,198448
2014-01-24,97,232,30,6,938,565206
2014-01-27,58,250,8,1,1210,570146
2014-01-30,58,113,3,3,686,357991
2014-02-04,97,143,18,10,1067,467162
2014-02-07,38,79,8,1,647,441019
2014-02-10,62,170,22,2,516,228407
2014-02-13,47,84,14,5,545,288817
2014-02-19,127,115,11,2,868,342740
2014-02-21,66,125,6,1,817,259443
2014-03-03,170,211,27,11,804,512067
2014-03-04,114,105,10,8,402,472536
2014-03-05,78,114,5,2,624,262654
2014-03-07,212,74,9,2,454,339385
2014-03-11,119,55,13,4,586,298206
