"date","volumeMTUM","volumeQUAL","volumeVLUE","volumeSIZE","volumeUSMV","volumeSPY"
2013-07-22,1650,3511,1385,1559,5304676,79307249
2013-07-29,4504,1187,900,200,426506,79712464
2013-08-05,7523,752,399,100,223383,53868607
2013-08-09,7257,96753,100,500,289693,91824151
2013-08-15,6260,24274,200,200,528347,152647543
2013-08-19,6325,5530,1593,20334,1520389,96330805
2013-08-26,7744,17488,488,475,230012,89492894
2013-09-06,6213,41000,1000,2000,806845,159700226
2013-09-10,12919,4135,927,2922,720954,105300853
2013-09-19,17018,6000,600,1700,166987,146510429
2013-09-30,13402,7219,500,607,206210,143620138
2013-10-02,13129,1750,300,200,368649,112859880
2013-10-03,3529,41656,122,225,388555,176563533
2013-10-08,3021,25925,3092,300,380546,178558678
2013-10-09,4615,8613,3085,1210,385665,168271554
2013-10-11,1396,25783,500,400,161757,104967037
2013-10-16,11734,45334,768,125,206135,161058684
2013-10-21,6971,46443,426,200,196335,104054017
2013-10-28,1925,55275,635,600,349773,84672528
2013-10-29,2115,36373,938,355,263933,87248072
2013-11-01,6523,14695,380,200,327694,142775416
2013-11-04,1152,45232,200,500,310490,85486867
2013-11-11,3525,43467,444,100,129622,66300304
2013-11-21,1829,47898,400,504,177804,92841271
2013-11-25,19891,32088,200,106,497925,79485709
2013-12-03,11876,32928,4200,4850,424367,116563302
2013-12-06,5989,30694,830,229,320703,127727518
2013-12-09,11593,26242,150,353,258708,70123608
2013-12-12,10909,18972,5712,110,319906,115564840
2013-12-13,10032,10707,1542,505,213996,107807610
2013-12-16,7803,126059,1011,110,663055,96194790
2013-12-18,9326,302745,946,230,649754,234906482
2013-12-23,5634,106186,301,156,320046,85597541
2013-12-26,10566,217580,355,6396,176709,63365227
2013-12-27,8591,75465,123,830,260046,61813841
2013-12-31,8620,55244,1652,1363,215575,86247638
2014-01-03,14773,76082,828,274,287539,81390502
2014-01-07,5713,86116,1308,887,477530,86144169
2014-01-09,74844,72632,5554,702,834044,90683302
2014-01-13,9368,40358,1239,512,215942,149891938
2014-01-14,7886,19768,1274,551,172339,105016055
2014-01-16,6466,17375,550,705,404522,72290520
2014-01-17,8577,25410,314,224,287656,107848616
2014-01-22,10679,25772,1488,134,195673,61270816
2014-01-24,51786,355422,19923,702,529003,208677093
2014-01-27,8722,72015,2236,200,717607,180843004
2014-01-30,10501,24133,1751,156,1686667,118938051
2014-02-04,16517,366100,2046,1868,656787,165012351
2014-02-07,4225,20729,3241,100,164790,170787197
2014-02-10,9668,36125,3824,122,282448,92218729
2014-02-13,5413,22892,3133,905,157429,100542155
2014-02-19,21780,54095,1327,471,350125,126524261
2014-02-21,10282,21124,1432,170,395382,118116359
2014-03-03,32435,82673,3057,1371,432776,167448668
2014-03-04,19774,28237,855,569,194653,167545852
2014-03-05,15374,27159,290,522,347986,88376859
2014-03-07,33963,12314,1124,655,208245,114513432
2014-03-11,45109,5283,2209,126,151598,99009013
2014-03-18,23423,12526,1932,329,470473,101804519
2014-03-21,18587,212547,5128,110,250617,163127905
2014-03-24,45002,24981,1253,123,208855,121411145
2014-03-27,21489,15000,7461,2352,160476,142382757
2014-03-28,13238,18384,2079,3487,301577,101641547
2014-03-31,10711,9283,1355,372,216761,99744911
2014-04-07,31259,196230,1641,200,295513,140802699
2014-04-09,123182,10777,1022,347,166981,100253612
2014-04-10,63488,13180,1032,900,246867,172959331
2014-04-11,72993,29765,819,287,164596,167250792
2014-04-15,29155,28810,2286,756,231584,157092533
2014-04-16,16531,25409,829,529,186708,105196633
2014-04-17,7443,44096,769,924,148956,105254649
2014-04-21,7847,42919,207,706,231160,68329343
2014-04-22,116954,24947,681,407,331665,85790307
2014-04-25,16714,16870,1391,1070,320753,100380205
2014-04-28,12783,30091,829,1230,156795,135121094
2014-04-30,7614,91357,896,585,431356,101507717
2014-05-01,5703,39625,671,5750,434761,93019095
2014-05-06,30622,6618,965,709,277566,85454226
2014-05-09,9145,10249,4749,5563,169430,83678568
2014-05-12,12146,9215,3230,1027,382106,86940045
2014-05-13,18504,10672,5348,1992,200507,66453965
2014-05-14,47514,39450,1550,672,156858,72366848
2014-05-15,15226,24490,423,2721,194839,154956399
2014-05-20,29939,53859,38286,16313,163541,111644478
2014-05-21,11055,12186,4233,4698,145385,89093285
2014-05-22,10279,42196,666,6120,522453,61549345
2014-05-23,22828,9447,1293,3038,267209,60156088
2014-05-27,26136,19561,2959,16029,282798,72010355
2014-05-28,11108,16686,468,6507,362789,66722865
2014-05-29,75559,14359,3463,16772,282368,64376573
2014-06-02,243821,267007,1668,19222,207420,64655648
2014-06-04,10809,11128,4859,2314,311054,55529372
2014-06-06,7152,14298,2061,400,314058,78696219
2014-06-09,35054,13993,531,270,126283,65118828
2014-06-10,6814,18633,1985,202,215093,57129440
2014-06-18,16440,11193,11379,207,516324,105266767
2014-06-20,7396,25598,8573,6920,1095028,100587108
2014-06-25,61133,13272,56249,1584,435515,82781912
2014-06-26,15612,9902,3885,1092,330357,84311822
2014-06-27,89911,54172,85898,266,97778,71453616
2014-07-01,24330,33661,668,227,356478,90470121
2014-07-03,10041,3786,13370,774,77473,52938832
2014-07-07,24334,9109,5585,369,322832,61696447
2014-07-08,23044,27521,7179,663,173224,108142552
2014-07-09,6166,34060,13427,430,471711,72992322
2014-07-10,8203,12487,699,3290,685775,99040407
2014-07-16,19179,12238,22359,517,240949,80073242
2014-07-17,2892,13825,1030,1582,274076,145398459
2014-07-21,86126,4762,969,950,1234177,67591618
2014-07-22,70928,19683,14425,37572,274989,67677602
2014-07-24,6155,16369,2162,793,145567,56888093
2014-07-28,18875,28799,1696,2215,347487,69258785
2014-07-29,19094,10288,5164,1210,231937,80466351
2014-07-30,79443,19060,633,10652,283276,104222452
2014-07-31,147332,30659,411,7198,331239,183479441
2014-08-05,18805,11293,611,9163,256543,152690379
2014-08-06,9567,13093,1209,20094,451726,94818317
2014-08-07,5409,20416,708,17656,198074,135733421
2014-08-08,180068,200335,161419,166772,220189,117014384
2014-08-11,8892,16100,385,12169,327278,74543691
2014-08-12,5232,10383,4924,10697,322851,73631640
2014-08-13,36459,43957,1236,791,149747,68926041
2014-08-14,4541,8693,3843,809,188081,57370793
2014-08-15,10922,27709,7588,203,274961,139950669
2014-08-18,20932,49835,10607,9115,321232,75424360
2014-08-19,17236,25660,9326,1336,435441,59134709
2014-08-20,8161,23369,662,2038,437419,72762541
2014-08-21,9537,17639,506,385,528512,67790690
2014-08-22,7521,13604,1620,11205,146843,76107359
2014-08-25,18229,9072,13963,4034,162124,63855022
2014-08-26,21940,12641,920,491,187532,47298324
2014-08-29,15516,7053,401,4638,361126,65906598
2014-09-02,24715,61120,1903,73798,640092,72425793
2014-09-04,6877,21236,2024,3878,235737,85236442
2014-09-05,6331,10631,3279,3954,175908,102176784
2014-09-09,16147,6720,653,14506,193442,88590876
2014-09-12,23737,521865,1131237,2664,1637545,117478516
2014-09-15,144221,81942,3381,3837,1036514,76401421
2014-09-16,77074,21064,382,5305,259262,116200722
2014-09-18,56496,543299,1168738,3316,157673,94990300
2014-09-22,94571,9386,819,1033,356906,125552758
2014-09-23,42730,18473,1118,2026,285599,111393319
2014-09-24,41093,16106,420,1471,198768,107275635
2014-09-25,75899,56613,17634,1593,316187,150300028
2014-09-30,26322,11538,1055,111,617866,131302082
2014-10-01,142954,233571,180819,1806,936758,177797862
2014-10-02,46610,80742,1015,230,970859,157285182
2014-10-03,31475,20963,548,3107,479954,121568769
2014-10-06,128913,16075,107280,109202,372610,104778335
2014-10-07,51833,125594,2176,254,594848,147913498
2014-10-08,27992,38241,3639,951,732144,186461453
2014-10-09,84124,221040,43172,42919,914034,210704601
2014-10-10,20619,100663,1655084,2224,879336,221908954
2014-10-14,70105,72015,3633,3939,1025461,215846527
2014-10-15,92586,97209,28966,23635,1019293,380714598
2014-10-16,26432,34554,12579,2567,1021925,270391488
2014-10-20,12652,33699,1607,1637,369936,130010813
2014-10-22,206619,185915,169015,182372,601273,151822409
2014-10-23,14613,20935,816,12481,679335,154944169
2014-10-24,13245,10113,1849,5468,4280576,117927286
2014-10-28,13282,62510,361,900,1530489,106735936
2014-10-30,81220,91103,83999,60377,476551,113329976
2014-10-31,68125,84672,34099,35801,3795076,146902554
2014-11-03,86743,68895,31273,32185,916440,93734143
2014-11-04,22522,16507,1270,549,1198344,93342777
2014-11-05,16783,71621,2928,789,568579,91708574
2014-11-10,9146,23297,386,33876,395513,66318964
2014-11-12,13868,10291,708,2054,476551,90120295
2014-11-17,69057,180509,93836,1067,257362,80440954
2014-11-19,64949,21035,115822,1758,514826,82373009
2014-11-25,23556,208329,11352,2853,480187,79108301
2014-11-26,21702,35022,12748,1104,458795,62167832
2014-11-28,14770,8110,1762,425,262854,57890088
2014-12-01,28640,30815,1839,373,595746,103968354
2014-12-02,35071,64520,16511,15286,839127,74507192
2014-12-03,16582,104953,695,893,629692,68951968
2014-12-08,60559,133858,2101,5078,695698,108588152
2014-12-10,22074,22448,11752,855,568407,159856394
2014-12-11,29431,24189,3253,2650,462729,159012805
2014-12-12,44540,14562,182,1444,926414,202330191
2014-12-15,21977,39605,9545,6488,595030,189965750
2014-12-18,18323,21869,4493,1781,6099068,257633887
2014-12-19,56395,30180,682,345,506409,245084590
2014-12-23,32567,15952,485,730,768745,122167931
2014-12-26,36011,29163,77857,46909,218065,57326703
2014-12-29,99703,18223,2044,50125,627275,79643948
2014-12-30,209480,34172,2564,12249,760314,73540761
2014-12-31,25916,30284,20587,16779,412895,130333829
2015-01-02,13527,29681,280,997,603017,121465865
2015-01-06,73593,26845,963,1045,1095460,209151408
2015-01-07,193119,18546,1734,20787,686945,125346709
2015-01-08,109015,511724,1102866,3018,732871,147217784
2015-01-09,46901,68368,2635,16505,861330,158567288
2015-01-12,41877,41894,2376,1478,565517,144396067
2015-01-13,45319,532885,1107967,772,1824204,214553306
2015-01-14,71238,50978,3214,6811,833759,192991092
2015-01-15,44141,92387,400,19548,1381908,176613906
2015-01-16,36947,32700,5670,531,1010036,211879605
2015-01-20,92582,272202,1158,2131,892914,130991069
2015-01-21,27747,36535,2745,1843,1406158,122942707
2015-01-22,223954,250358,211351,193236,1076736,174356029
2015-01-23,40348,34214,1754,1555,1491421,117516753
2015-01-26,39987,26350,485,3301,777817,92009711
2015-01-27,30826,1670786,949,2849,7497627,134044598
2015-01-28,48434,70679,6741,670,1611985,168514312
2015-01-29,61327,26077,13915,4181,1506087,173585424
2015-01-30,31314,42914,344,1175,1497401,197729724
2015-02-02,79177,107099,547,3300,1243869,163106969
2015-02-03,53077,40426,7565,30232,912581,124212881
2015-02-04,48421,99763,27658,2151,2196089,134306728
2015-02-05,123466,38956,3345,7320,1727134,97953181
2015-02-06,21441,28643,583,150,1000093,125672026
2015-02-10,26563,81500,6121,477,1205756,96164183
2015-02-11,85001,104184,3662,934,802688,91087785
2015-02-12,41227,60172,431,5037,659474,97545949
2015-02-13,21603,57614,409,2354,767079,93670430
2015-02-17,16595,186647,908,725,2143627,76968199
2015-02-18,24335,24882,1423,592,1388302,80652941
2015-02-20,33702,28111,2599,442,836690,140896392
2015-02-23,20653,34324,367,466,893582,74411054
2015-02-24,92192,31252,751,6499,852372,72472263
2015-02-25,27468,25274,5579,2747,698681,73061687
2015-03-02,39613,31864,1056,1203,1935845,87491428
2015-03-03,55756,92112,8054,1814,1321873,110325809
2015-03-04,32390,51297,693,1846,1782346,114497192
2015-03-05,29270,36279,1371,8743,831593,76872957
2015-03-06,36334,51246,6907,791,995105,188127982
2015-03-09,24456,290278,149216,432,585109,89818893
2015-03-10,35660,39458,3639,3026,2277838,157121263
2015-03-11,34982,28717,2558,3157,1252068,110145718
2015-03-12,30779,26348,1361,463,868825,93993523
2015-03-13,15682,24907,11490,2222,717753,162410893
2015-03-16,19095,33122,2327,1320,536698,136099192
2015-03-17,20133,43598,3531,1512,772908,94510422
2015-03-18,22232,35895,706,13740,571516,228808524
2015-03-19,14710,49444,14609,1927,917326,117917302
2015-03-20,20957,32791,4078,1674,730424,177715081
2015-03-23,37646,17086,1777,28991,634648,71784536
2015-03-24,26564,16297,2549,4852,1197271,77805321
2015-03-25,26602,25435,1423,799,820681,159521708
2015-03-26,25189,876789,8228,2344,696520,153067241
2015-03-27,23862,94460,1075,1280,494572,118938966
2015-03-30,23953,40020,8363,851,868667,96180365
2015-04-01,77063,84858,17614,21515,1208086,137303584
2015-04-02,13863,50966,821,34488,492511,86900906
2015-04-06,25571,34653,1436,3037,632485,114368155
2015-04-07,81980,36623,3980,997,1614003,81236337
2015-04-08,18396,29047,10717,210,804012,89351939
2015-04-09,15824,41085,1602,2720,2425230,85548854
2015-04-10,55176,18099,1131,6651,1152680,72722915
2015-04-13,37169,26668,2271,13831,2385800,74436594
2015-04-14,120992,76925,1562,1703,1338677,75099866
2015-04-16,110738,217099,113732,883,976678,68934864
2015-04-17,28684,72336,5839,1481,637783,191113230
2015-04-20,72591,29988,1031,1772,548539,92189481
2015-04-22,32854,31031,291,532,962430,78264616
2015-04-23,11538,49755,553,241,995837,102585942
2015-04-24,14083,244327,395734,252,1428300,61327387
2015-04-27,22514,562240,1258,12443,625910,79358126
2015-04-28,29774,201275,665,583,944521,86863531
2015-04-29,97210,44401,72629,1170,579942,125684903
2015-04-30,22790,579654,6280,504925,1471463,161304890
2015-05-01,22034,42322,769,355,774763,103399711
2015-05-04,14509,976987,1140,1147,631674,70927235
2015-05-05,13611,78834,683,6276,1155418,113326156
2015-05-06,24539,23420,2952,1125,447382,135060151
2015-05-07,38376,115467,709,6838,993425,88244940
2015-05-08,18855,16238,545,3480,1592121,155877260
2015-05-12,14307,38840,490,275,619063,119727592
2015-05-13,19050,30258,8378,780,442121,94667943
2015-05-15,55296,17783,685,196,398718,76510099
2015-05-18,20090,29923,1275,289,448735,74549685
2015-05-20,35157,13767,286,597,577926,76857530
2015-05-21,34456,36536,4069,572,316401,64764585
2015-05-22,32162,30332,1303,2295,373815,57433495
2015-05-26,22405,19934,2439,996,479475,124308584
2015-05-27,13827,85160,1075,528,420838,93213981
2015-05-28,10729,37256,669,13070,472518,74974560
2015-05-29,50342,26600,681,949,445978,124919611
2015-06-03,24704,36330,1006,725,834205,87820909
2015-06-05,16526,22584,1418,574,850212,121704676
2015-06-08,10672,18982,1189,485,882297,89063330
2015-06-09,21227,45314,1241,1206,564677,105034690
2015-06-10,10145,26857,3700,1560,606540,134551285
2015-06-11,21473,20658,4705,200,464264,73876447
2015-06-12,13207,23955,6472,2244,1451067,135382369
2015-06-15,12205,27486,2170,885,599764,124384184
2015-06-16,17299,36452,1078,694,2077187,85308227
2015-06-18,17712,37941,3026,246,616719,165867949
2015-06-19,104939,25402,750,506,473818,130478689
2015-06-22,14222,27499,2661,776,790971,70696027
2015-06-24,23348,14532,284,335,769798,92307318
2015-06-29,54407,43013,2309,257,1444324,202621332
2015-06-30,17113,52608,1649,546,662323,182925106
2015-07-01,38233,29838,982,116,2502126,135979873
2015-07-07,205685,16207,9158,2348,1204045,173820249
2015-07-08,49760,26455,244980,621,2720938,164020059
2015-07-10,121049,41658,9662,1180,1013380,129456890
2015-07-14,54445,50476,2031,563,636885,81709575
2015-07-15,58143,60249,3385,214,630547,97914141
2015-07-20,426971,156018,3396,3559,532855,70446821
2015-07-21,95095,106052,2672,2344,1403618,77965048
2015-07-27,119485,46037,11007,1784,687379,132361082
2015-07-28,37512,23972,276,555,469032,123544845
2015-07-31,41552,485933,336,200,420591,103266857
2015-08-03,278030,172588,3206,600,699006,113965728
2015-08-05,137787,116851,7989,33010,798638,85786817
2015-08-06,208298,68943,13084,1156,1186281,116030803
2015-08-10,141219,39014,1409,3040,414022,80270676
2015-08-11,55145,37007,1314,1615,2229415,126081377
2015-08-12,119837,115391,1426,568,1055217,172123672
2015-08-13,114024,35751,557,100,741697,89383253
2015-08-14,75687,34819,652,482,949023,72786528
2015-08-17,221705,24757,2546,1316,915326,79072643
2015-08-18,76222,86803,2743,55814,5876095,71692678
2015-08-19,157024,139685,821,108331,1327073,172864412
2015-08-20,90636,33966,3183,6501,6118434,194327884
2015-08-21,117357,126885,12022,19770,5387035,346588469
2015-08-24,262890,141938,33272,6342,6263160,507244333
2015-08-25,108077,120447,32876,1946,2473115,369833071
2015-08-26,129091,83549,10109,2921,2121297,339256986
2015-08-27,294793,86691,2474,5157,1919543,274143906
2015-08-28,112343,46314,8028,842,1207731,160414352
2015-08-31,532897,65689,490,2280,1669104,163298816
2015-09-01,744637,58452,18890,22053,2154473,256000392
2015-09-02,64401,78698,22394,175,1699631,160269331
2015-09-03,67612,51579,9210,318,1594889,152087836
2015-09-04,329093,445154,6943,1348,1413613,207080961
2015-09-08,135688,80659,10099,349,1328619,116025739
2015-09-14,68001,49315,4499,542,1097855,79451983
2015-09-17,302554,64965,30368,1485,1355315,276046618
2015-09-18,38336,52938,7998,2968,868496,223657456
2015-09-22,111004,57055,24388,205,1714765,153890876
2015-09-23,87956,86206,22972,545,736427,92790620
2015-09-24,75059,70417,15627,433,2263924,159378840
2015-09-25,66285,515214,384311,71525,1567955,155054777
2015-09-28,97410,240763,11475,264,1378070,178515871
2015-09-29,94893,1586893,9504,635,1534184,159045572
2015-09-30,471357,352957,215201,5574,1178374,163452044
2015-10-01,718047,49958,29579,268690,1594714,131078964
2015-10-02,111059,115116,71035,86612,2021901,211003342
2015-10-05,131578,56769,4990,4479,1232454,126320842
2015-10-06,142433,40506,12803,4787,917666,110274530
2015-10-07,315850,160605,11074,4168,2806831,124307295
2015-10-08,1045926,104800,6633,4220,1464649,153055231
2015-10-09,162743,644605,15757,281,1003322,107069240
2015-10-13,58813,43347,219426,1231,1811006,88038718
2015-10-15,70690,53572,9190,982,2239596,134142195
2015-10-16,74007,88850,1651,100,1211359,114580052
2015-10-19,76347,881920,69798,700,2670406,76523897
2015-10-20,84872,61746,11178,1118,936039,78448484
