date,SPY,EFA,VOO,IVV,TLT,TIP,IVE,XLE,XLI,XLK,XLF
2017-12-29,-0.0038,0.0007000000000000001,-0.0034999999999999996,-0.0034999999999999996,0.0016,0.0025,-0.0029,-0.0029,-0.0018,-0.0053,-0.0070999999999999995
2017-12-28,0.0021,0.0006,0.0019,0.0019,-0.0009,0.0004,0.0021,0.0015,0.002,0.0017000000000000001,0.0039000000000000003
2017-12-27,0.0005,0.0019,0.0006,0.0006,0.013000000000000001,0.0040999999999999995,-0.0003,-0.0033,0.0024,0.0011,0.0011
2017-12-26,-0.0012,-0.0003,-0.0012,-0.0013,0.003,0.0009,0.0001,0.0088,0.0011,-0.0067,-0.0029
2017-12-22,-0.0003,0.0026,-0.0002,-0.0003,0.0014000000000000002,0.0006,0.0003,0.0021,0.0003,-0.0006,-0.0028000000000000004
2017-12-21,0.0021,0.0036,0.002,0.002,0.0058,0.004,0.0049,0.0212,0.0008,-0.002,0.0086
2017-12-20,-0.0005,-0.0017000000000000001,-0.0008,-0.0005,-0.0111,-0.0034000000000000002,0.0004,0.0141,0.0033,-0.0003,-0.0018
2017-12-19,-0.0038,0.0069,-0.0036,0.0007000000000000001,-0.013000000000000001,-0.003,0.0017000000000000001,0.0014000000000000002,0.0003,-0.0060999999999999995,-0.0043
2017-12-18,0.0063,0.011899999999999999,0.0062,0.0062,-0.0091,-0.0018,0.0066,0.0077,0.0070999999999999995,0.0088,0.009000000000000001
2017-12-15,0.0083,-0.0003,0.0084,0.0084,0.0038,0.0,0.0077,-0.0009,0.006999999999999999,0.011399999999999999,0.009000000000000001
2017-12-14,-0.0040999999999999995,-0.0055000000000000005,-0.004,-0.0039000000000000003,0.0042,0.0,-0.0054,-0.0036,-0.0068000000000000005,-0.0012,-0.006500000000000001
2017-12-13,-0.0001,0.0039000000000000003,-0.0002,-0.0002,0.0075,0.0018,-0.0023,-0.0014000000000000002,0.0039000000000000003,0.0003,-0.0124
2017-12-12,0.0018,0.0013,0.0017000000000000001,0.0015,-0.0004,0.0008,0.0034000000000000002,-0.0027,0.0011,-0.0003,0.01
2017-12-11,0.003,0.0026,0.0032,0.0034000000000000002,-0.0021,-0.0008,0.0025,0.0072,-0.002,0.0086,-0.0025
2017-12-08,0.0055000000000000005,0.0053,0.0054,0.0055000000000000005,0.0001,-0.0004,0.0059,0.0092,0.0043,0.004699999999999999,0.0060999999999999995
2017-12-07,0.0032,0.0026,0.0033,0.003,-0.0078000000000000005,-0.0013,0.0018,0.0029,0.0092,0.0062,0.0032
2017-12-06,0.0002,-0.002,-0.0,0.0002,0.0034999999999999996,0.0011,-0.0024,-0.013000000000000001,0.0015,0.0064,-0.0036
2017-12-05,-0.0036,-0.0022,-0.0034999999999999996,-0.0037,0.005,0.0011,-0.0059,-0.0043,-0.0085,0.0003,-0.0054
